,sample_id,mouse_id,strain,genotype,treatment,age,sex,organ,suborgan,sampletype,microbiome,passage,batch,prep,filename
3311-ProxColon,3311-ProxColon,3311,129svev,WT,None,9,F,COL,PCOL,normal,gf,NA,2020_gf_pilot,PP,3311-ProxColon_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
3311-Spleen,3311-Spleen,3311,129svev,WT,None,9,F,SPL,SPL,normal,gf,NA,2020_gf_pilot,PP,3311-Spleen_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
3389-ProxColon,3389-ProxColon,3389,129svev,WT,None,9,M,COL,PCOL,normal,gf,NA,2020_gf_pilot,PP,3389-ProxColon_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
3389-Spleen,3389-Spleen,3389,129svev,WT,None,9,M,SPL,SPL,normal,gf,NA,2020_gf_pilot,PP,3389-Spleen_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
4431-ProxColon,4431-ProxColon,4431,129svev,WT,None,4,F,COL,PCOL,normal,gf,NA,2020_gf_pilot,PP,4431-ProxColon_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
4431-Spleen,4431-Spleen,4431,129svev,WT,None,4,F,SPL,SPL,normal,gf,NA,2020_gf_pilot,PP,4431-Spleen_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
4434-ProxColon,4434-ProxColon,4434,129svev,WT,None,4,M,COL,PCOL,normal,gf,NA,2020_gf_pilot,PP,4434-ProxColon_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
4434-Spleen,4434-Spleen,4434,129svev,WT,None,4,M,SPL,SPL,normal,gf,NA,2020_gf_pilot,PP,4434-Spleen_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
Young-BR-1,Young-BR-1,NA,c57bl6,Lgr5,None,4,NA,BR,BR,normal,wt,NA,2020_gf_pilot,HV,Young-BR-1_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
Young-BR-2,Young-BR-2,NA,c57bl6,Lgr5,None,4,NA,BR,BR,normal,wt,NA,2020_gf_pilot,HV,Young-BR-2_R1_001_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_1,distal_M_1,1,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,normal,eckp,NA,2021_03_29,PP,distal_M_1_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_1,distal_T_1,1,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,tumor,eckp,NA,2021_03_29,PP,distal_T_1_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_1,prox_M_1,1,129svev,ApcMin/IL10KO,None,7,M,COL,PCOL,normal,eckp,NA,2021_03_29,PP,prox_M_1_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_2,distal_M_2,2,129svev,ApcMin/IL10KO,None,6,F,COL,DCOL,normal,eckp,NA,2021_03_29,PP,distal_M_2_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_2,distal_T_2,2,129svev,ApcMin/IL10KO,None,6,F,COL,DCOL,tumor,eckp,NA,2021_03_29,PP,distal_T_2_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_2,prox_M_2,2,129svev,ApcMin/IL10KO,None,6,F,COL,PCOL,normal,eckp,NA,2021_03_29,PP,prox_M_2_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_3,distal_M_3,3,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,normal,eckp,NA,2021_03_29,PP,distal_M_3_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_3,distal_T_3,3,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,tumor,eckp,NA,2021_03_29,PP,distal_T_3_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_3,prox_M_3,3,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,eckp,NA,2021_03_29,PP,prox_M_3_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_4,distal_M_4,4,129svev,ApcMin/IL10KO,None,6,F,COL,DCOL,normal,eckp,NA,2021_03_29,PP,distal_M_4_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_4,distal_T_4,4,129svev,ApcMin/IL10KO,None,6,F,COL,DCOL,tumor,eckp,NA,2021_03_29,PP,distal_T_4_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_4,prox_M_4,4,129svev,ApcMin/IL10KO,None,6,F,COL,PCOL,normal,eckp,NA,2021_03_29,PP,prox_M_4_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_T_4,prox_T_4,4,129svev,ApcMin/IL10KO,None,6,F,COL,PCOL,tumor,eckp,NA,2021_03_29,PP,prox_T_4_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_5,prox_M_5,5,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,eckp,NA,2021_03_29,PP,prox_M_5_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_T_5,prox_T_5,5,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,tumor,eckp,NA,2021_03_29,PP,prox_T_5_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_5168,distal_M_5168,5168,129svev,ApcMin/IL10KO,None,6,F,COL,DCOL,normal,spf,NA,2021_03_29,PP,distal_M_5168_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_5168,distal_T_5168,5168,129svev,ApcMin/IL10KO,None,6,F,COL,DCOL,tumor,spf,NA,2021_03_29,PP,distal_T_5168_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_5168,prox_M_5168,5168,129svev,ApcMin/IL10KO,None,6,F,COL,PCOL,normal,spf,NA,2021_03_29,PP,prox_M_5168_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_5171,distal_M_5171,5171,129svev,ApcMin/IL10KO,None,6,M,COL,DCOL,normal,spf,NA,2021_03_29,PP,distal_M_5171_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_5171,distal_T_5171,5171,129svev,ApcMin/IL10KO,None,6,M,COL,DCOL,tumor,spf,NA,2021_03_29,PP,distal_T_5171_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_5171,prox_M_5171,5171,129svev,ApcMin/IL10KO,None,6,M,COL,PCOL,normal,spf,NA,2021_03_29,PP,prox_M_5171_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_T_5171,prox_T_5171,5171,129svev,ApcMin/IL10KO,None,6,M,COL,PCOL,tumor,spf,NA,2021_03_29,PP,prox_T_5171_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_5604,distal_M_5604,5604,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,normal,spf,NA,2021_03_29,PP,distal_M_5604_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_5604,distal_T_5604,5604,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,tumor,spf,NA,2021_03_29,PP,distal_T_5604_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_5604,prox_M_5604,5604,129svev,ApcMin/IL10KO,None,7,M,COL,PCOL,normal,spf,NA,2021_03_29,PP,prox_M_5604_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_T_5604,prox_T_5604,5604,129svev,ApcMin/IL10KO,None,7,M,COL,PCOL,tumor,spf,NA,2021_03_29,PP,prox_T_5604_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_5674,distal_M_5674,5674,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,normal,spf,NA,2021_03_29,PP,distal_M_5674_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_5674,distal_T_5674,5674,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,tumor,spf,NA,2021_03_29,PP,distal_T_5674_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_5674,prox_M_5674,5674,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,spf,NA,2021_03_29,PP,prox_M_5674_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_T_5674,prox_T_5674,5674,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,tumor,spf,NA,2021_03_29,PP,prox_T_5674_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_M_5675,distal_M_5675,5675,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,normal,spf,NA,2021_03_29,PP,distal_M_5675_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
distal_T_5675,distal_T_5675,5675,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,tumor,spf,NA,2021_03_29,PP,distal_T_5675_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_M_5675,prox_M_5675,5675,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,spf,NA,2021_03_29,PP,prox_M_5675_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
prox_T_5675,prox_T_5675,5675,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,tumor,spf,NA,2021_03_29,PP,prox_T_5675_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_3031,liv_3031,3031,129svev,WT,None,11,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_3031_CKDL210018243-1a-7UDI280-AK890_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_3031,pc_3031,3031,129svev,WT,None,11,M,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_3031_CKDL210018244-1a-AK494-GH03_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_3311,dc_3311,3311,129svev,WT,None,9,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_3311_CKDL210018243-1a-AK1863-GA03_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_3311,liv_3311,3311,129svev,WT,None,9,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_3311_CKDL210018244-1a-AK706-7UDI245_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_3321,dc_3321,3321,129svev,WT,None,9,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_3321_CKDL210018243-1a-AK889-7UDI229_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_3321,sp_3321,3321,129svev,WT,None,9,F,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_3321_CKDL210018243-1a-AK2044-AK1952_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_3389,dc_3389,3389,129svev,WT,None,9,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_3389_CKDL210018243-1a-AK850-AK2430_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_3389,liv_3389,3389,129svev,WT,None,9,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_3389_CKDL210018243-1a-AK845-GD06_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_3409,dc_3409,3409,129svev,WT,None,9,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_3409_CKDL210018243-1a-AK2045-AK2431_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_3409,liv_3409,3409,129svev,WT,None,9,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_3409_CKDL210018244-1a-AK892-AK1874_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_3409,pc_3409,3409,129svev,WT,None,9,M,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_3409_CKDL210018244-1a-AK869-AK847_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_3409,sp_3409,3409,129svev,WT,None,9,M,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_3409_CKDL210018243-1a-AK844-AK1878_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_3500,dc_3500,3500,129svev,WT,None,9,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_3500_CKDL210018243-1a-AK1334-7UDI292_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_3500,liv_3500,3500,129svev,WT,None,9,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_3500_CKDL210018244-1a-GB07-AK1880_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_3500,pc_3500,3500,129svev,WT,None,9,M,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_3500_CKDL210018244-1a-GE09-AK1954_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_3500,sp_3500,3500,129svev,WT,None,9,M,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_3500_CKDL210018243-1a-AK898-AK1872_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_3507,liv_3507,3507,129svev,WT,None,10,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_3507_CKDL210018244-1a-7UDI254-AK2329_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_3507,pc_3507,3507,129svev,WT,None,10,F,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_3507_CKDL210018244-1a-AK907-AK1864_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_3575,sp_3575,3575,129svev,WT,None,9,F,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_3575_CKDL210018243-1a-AK843-7UDI298_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_3586,dc_3586,3586,129svev,WT,None,9,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_3586_CKDL210018243-1a-AK899-AK1873_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_3586,sp_3586,3586,129svev,WT,None,9,F,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_3586_CKDL210018243-1a-AK1853-7UDI283_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4402,dc_4402,4402,129svev,WT,None,10,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4402_CKDL210018243-1a-AK892-AK1874_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4402,liv_4402,4402,129svev,WT,None,10,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4402_CKDL210018244-1a-AK863-AK984_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4402,pc_4402,4402,129svev,WT,None,10,F,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4402_CKDL210018244-1a-AK234-7UDI274_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4403,liv_4403,4403,129svev,WT,None,10,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4403_CKDL210018244-1a-7UDI237-AK1867_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4403,pc_4403,4403,129svev,WT,None,10,F,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4403_CKDL210018244-1a-AK692-GF10_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4413,dc_4413,4413,129svev,WT,None,3,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4413_CKDL210018243-1a-AK1875-AK1879_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4413,liv_4413,4413,129svev,WT,None,3,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4413_CKDL210018243-1a-AK705-GG04_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4413,pc_4413,4413,129svev,WT,None,3,M,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4413_CKDL210018244-1a-7UDI193-AK977_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4413,sp_4413,4413,129svev,WT,None,3,M,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4413_CKDL210018243-1a-7UDI206-7UDI300_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4423,dc_4423,4423,129svev,WT,None,3,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4423_CKDL210018243-1a-7UDI258-7UDI248_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4423,liv_4423,4423,129svev,WT,None,3,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4423_CKDL210018244-1a-AK889-7UDI229_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4423,pc_4423,4423,129svev,WT,None,3,F,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4423_CKDL210018244-1a-AK845-GD06_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4423,sp_4423,4423,129svev,WT,None,3,F,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4423_CKDL210018243-1a-GH12-GF11_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4431,dc_4431,4431,129svev,WT,None,3,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4431_CKDL210018243-1a-AK863-AK984_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4431,liv_4431,4431,129svev,WT,None,3,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4431_CKDL210018244-1a-AK1334-7UDI292_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4434,dc_4434,4434,129svev,WT,None,3,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4434_CKDL210018243-1a-7UDI237-AK1867_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4434,liv_4434,4434,129svev,WT,None,3,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4434_CKDL210018244-1a-7UDI258-7UDI248_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4436,dc_4436,4436,129svev,WT,None,3,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4436_CKDL210018243-1a-7UDI254-AK2329_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4436,liv_4436,4436,129svev,WT,None,3,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4436_CKDL210018244-1a-AK899-AK1873_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4436,pc_4436,4436,129svev,WT,None,3,M,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4436_CKDL210018244-1a-7UDI223-AK2147_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4436,sp_4436,4436,129svev,WT,None,3,M,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4436_CKDL210018243-1a-AK690-7UDI304_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4462,dc_4462,4462,129svev,WT,None,3,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4462_CKDL210018243-1a-GB07-AK1880_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4462,liv_4462,4462,129svev,WT,None,3,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4462_CKDL210018244-1a-AK850-AK2430_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4462,pc_4462,4462,129svev,WT,None,3,F,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4462_CKDL210018244-1a-GA08-GE05_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4462,sp_4462,4462,129svev,WT,None,3,F,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4462_CKDL210018244-1a-AK897-AK1871_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4479,dc_4479,4479,129svev,WT,None,2,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4479_CKDL210018243-1a-AK706-7UDI245_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4479,liv_4479,4479,129svev,WT,None,2,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4479_CKDL210018244-1a-AK1863-GA03_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4479,pc_4479,4479,129svev,WT,None,2,F,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4479_CKDL210018244-1a-7UDI280-AK890_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4479,sp_4479,4479,129svev,WT,None,2,F,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4479_CKDL210018244-1a-AK903-GH07_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4480,dc_4480,4480,129svev,WT,None,3,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4480_CKDL210018243-1a-7UDI315-AK895_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4480,liv_4480,4480,129svev,WT,None,3,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4480_CKDL210018244-1a-AK2045-AK2431_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4480,pc_4480,4480,129svev,WT,None,3,F,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4480_CKDL210018244-1a-7UDI302-AK1849_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4480,sp_4480,4480,129svev,WT,None,3,F,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4480_CKDL210018243-1a-AK1868-AK1852_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4928,dc_4928,4928,129svev,WT,None,19,F,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4928_CKDL210018244-1a-AK690-7UDI304_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4928,liv_4928,4928,129svev,WT,None,19,F,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4928_CKDL210018244-1a-AK1846-AK2161_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4928,pc_4928,4928,129svev,WT,None,19,F,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4928_CKDL210018244-1a-AK843-7UDI298_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4928,sp_4928,4928,129svev,WT,None,19,F,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4928_CKDL210018243-1a-GA08-GE05_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4947,dc_4947,4947,129svev,WT,None,18,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4947_CKDL210018244-1a-7UDI228-7UDI200_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4947,liv_4947,4947,129svev,WT,None,18,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4947_CKDL210018244-1a-AK1868-AK1852_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4947,pc_4947,4947,129svev,WT,None,18,M,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4947_CKDL210018244-1a-AK898-AK1872_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4947,sp_4947,4947,129svev,WT,None,18,M,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4947_CKDL210018244-1a-7UDI301-AK1847_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4965,dc_4965,4965,129svev,WT,None,16,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4965_CKDL210018244-1a-AK1853-7UDI283_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4965,liv_4965,4965,129svev,WT,None,16,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4965_CKDL210018243-1a-7UDI302-AK1849_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4965,pc_4965,4965,129svev,WT,None,16,M,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4965_CKDL210018244-1a-AK844-AK1878_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4965,sp_4965,4965,129svev,WT,None,16,M,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4965_CKDL210018244-1a-7UDI222-GG03_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
dc_4970,dc_4970,4970,129svev,WT,None,18,M,COL,DCOL,normal,gf,NA,2021_08_26,PP,dc_4970_CKDL210018244-1a-AK2044-AK1952_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
liv_4970,liv_4970,4970,129svev,WT,None,18,M,LIV,LIV,normal,gf,NA,2021_08_26,PP,liv_4970_CKDL210018243-1a-AK903-GH07_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
pc_4970,pc_4970,4970,129svev,WT,None,18,M,COL,PCOL,normal,gf,NA,2021_08_26,PP,pc_4970_CKDL210018244-1a-GH12-GF11_HH7GMDSX2_L4_1_val_1_bismark_bt2_pe.bismark.cov.gz
sp_4970,sp_4970,4970,129svev,WT,None,18,M,SPL,SPL,normal,gf,NA,2021_08_26,PP,sp_4970_CKDL210018243-1a-AK1881-AK2149_HH7GMDSX2_L3_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt_5137,dt_5137,5137,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,tumor,consortium,NA,2021_12_07,PP,dt_5137_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt_5140,dt_5140,5140,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,tumor,consortium,NA,2021_12_07,PP,dt_5140_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
dm_5631,dm_5631,5631,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,normal,consortium,NA,2021_12_07,PP,dm_5631_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
pm_5631,pm_5631,5631,129svev,ApcMin/IL10KO,None,7,F,COL,PCOL,normal,consortium,NA,2021_12_07,PP,pm_5631_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt_5633,dt_5633,5633,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,tumor,consortium,NA,2021_12_07,PP,dt_5633_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt_5642,dt_5642,5642,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,tumor,consortium,NA,2021_12_07,PP,dt_5642_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt_5643,dt_5643,5643,129svev,ApcMin/IL10KO,None,7,M,COL,DCOL,tumor,consortium,NA,2021_12_07,PP,dt_5643_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
dt_5646,dt_5646,5646,129svev,ApcMin/IL10KO,None,7,F,COL,DCOL,tumor,consortium,NA,2021_12_07,PP,dt_5646_sL_1_val_1_bismark_bt2_pe.bismark.cov.gz
